eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,city,latitude,longitude,summary,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1,natlty1_txt,nperps,weaptype1,weaptype1_txt,weapdetail,nkill,nwound
200101150007,2001,1,15,0,45,Colombia,3,South America,Cajibio district,2.62241,-76.56961,"1/15/2001: Twenty suspected members of the United Self Defense Units of Colombia (AUC) clad in military uniforms stopped a bus in a village outside of Popayan, Cauca, Colombia.  The gunmen forced the passengers off the bus, killed ten of them and wounded the driver.  The remaining passengers fled.",0,2,Armed Assault,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians on a bus outside of Popayan,45,Colombia,20,5,Firearms,9mm and .38-calibre pistols,10,1
200102060006,2001,2,5,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"2/5/2001: Unidentified gunmen opened fire on two Shiite Muslim activists who were seated outside of their apartment building in east Karachi, Sindh, Pakistan.  The gunmen drove by in a vehicle and opened fire with automatic weapons, killing both Tehreek Jafaria Pakistan (TJP) activists.  No group claimed responsibility for the attack.",0,2,Armed Assault,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,"Nazeer Abbas and Muzaffar Ali, both activists from Tehrik-e-Jafria Pakistan",153,Pakistan,2,5,Firearms,A drive-by shooting,2,0
200102140010,2001,2,14,0,130,Mexico,1,North America,Limoncito de Ayala,24.413892,-106.727641,"2/14/2001:  Approximately 12 masked and military-clad gunmen attacked the residents of Limoncito de Ayala, Sinaloa, Mexico.  The assailants entered the village, stole a truck, and traveled from house to house rounding up males.  The gunmen shot 12 men and wounded another three, then fled in the truck.  No group has claimed responsibility and the motive behind the incident is unknown.",0,2,Armed Assault,14,Private Citizens & Property,72,Farmer,Male farmers and bricklayers living in Limoncito de Ayala,130,Mexico,12,5,Firearms,Police retrieved over five dozen 7.62 mm cartridges at the site,12,3
200103230003,2001,3,23,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"03/23/2001: An explosion on a bus passing through the Jame cloth market in Karachi, Sindh province, Pakistan, killed one person and wounded nine others.  The police increased security in the area as it was Pakistan Day, a national holiday with celebrations.  No group claimed responsibility for the attack.",0,3,Bombing/Explosion,19,Transportation,99,Bus (excluding tourists),Mini-bus filled with passengers,153,Pakistan,-99,6,Explosives,The bomb contained approximately 300 grams of explosives and was connected to a timer.,1,9
200103240007,2001,3,24,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"03/24/2001: One person was killed and three injured, including two police officers, when a grenade that was hurled from a car exploded in a camp for Muslim Shiites in Karachi, Sindh province, Pakistan.  No group claimed responsibility for the attack, but authorities blamed sectarians for the incident.  Security in the area was heighted due to the rituals of the Muslim religion that were set to begin.",0,3,Bombing/Explosion,15,Religious Figures/Institutions,87,Affiliated Institution,Camp for Shiite Muslims preparing for Muharram,153,Pakistan,-99,6,Explosives,Grenade thrown from car,1,3
200104020004,2001,4,2,0,201,Taiwan,4,East Asia,T'ao-yuan,24.25692,121.262332,"04/02/2001: An unidentified assailant threw a Molotov cocktail at a school in Taoyuan, Taiwan, killing two and injuring 18 more.",0,7,Facility/Infrastructure Attack,8,Educational Institution,49,School/University/Educational Building,"An illegal school in Taoyuan, Taiwan",201,Taiwan,1,8,Incendiary,A Molotov cocktail was used in this incident.,2,18
200104140001,2001,4,14,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"04/14/2001: Three unknown militants attacked an Indian security bunker at Lal Chowk in Srinagar, Kashmir. The attack killed four members of the Indian military.",0,2,Armed Assault,4,Military,29,Military Unit/Patrol/Convoy,"Paramilitary units at a security bunker at Lal Chowk in Srinagar, Kashmir",92,India,3,5,Firearms,An automatic weapon was used in this incident.,4,6
200105070001,2001,5,7,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"05/07/2001: One person was killed and at least five more were wounded when a bomb exploded in a bus in Deso Hall, Karachi, Sindh province, Pakistan.  No group claimed responsibility for the attack, and no information on property damage was given.",0,3,Bombing/Explosion,19,Transportation,99,Bus (excluding tourists),"A mini-bus and passengers in Deso Hall, Karachi",153,Pakistan,-99,6,Explosives,"One source says the bomb was placed on the bus's oil tank, while the other source says the bomb was under a bus seat.",1,5
200105180003,2001,5,18,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"05/18/2001: Unidentified gunmen shot and killed Saleem Qadri, the leader of the Sunni Tehrik Muslim organization, along with four of his family members and a bodyguard, as they traveled in a van to pray at a mosque in the town of Baldia, Sindh province, Pakistan.  Three others were wounded in the attack, including Qadri's young son and nephew.  Authorities claimed that the Sunni organization Sipah-e-Sahaba was responsible for the assassination, although the group spokesperson denied they were behind the attack.  No details on any physical damage were given.",0,1,Assassination,14,Private Citizens & Property,69,Religion Identified,Saleem Qadri,153,Pakistan,-99,5,Firearms,No weapon detail was provided.,6,3
200106130002,2001,6,13,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"06/13/2001: Five people were wounded when a bomb placed under a table detonated in the Tandoori Hut restaurant in Clifton, Sindh province, Pakistan.  No description of any property damage done was given, and no group claimed responsibility of the attack.",0,3,Bombing/Explosion,1,Business,2,Restaurant/Bar/Caf�,Tandoori Hut restaurant and the five patrons,153,Pakistan,-99,6,Explosives,No weapon detail was provided.,5,0
200108250013,2001,8,25,0,45,Colombia,3,South America,Santa Maria,2.936848,-75.586642,"08/25/2001: About 450 members of the Revolutionary Armed Forces of Columbia (FARC) in a strike on Santa Maria, Huila Department, attacked the Santa Juana de Arco School, the police station, the National Registry building, and the municipal court using gas cylinders, other explosives, and M-60 machine guns. Houses were destroyed and various items looted. Three soldiers were wounded but no other injuries were reported.",0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,"Santa Maria, Huila Department, Colombia",45,Colombia,450,6,Explosives,"Gas cylinder bombs and other explosives were thrown, and M-60 machine guns were used in the attack.",0,3
200110010001,2001,10,1,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"10/01/2001: Wajahat Hussain, a Pakistani national, blew himself up in a car bomb targeting the State Assembly building in Srinagar, India. Two gunmen then entered the building and began shooting. They were killed by Indian Security Forces only after several hours. 31 people were killed and at least 60 were injured in the attack and caused massive damage to the surrounding area. Responsibility for the attack was claimed by Jaish-e-Mohammed through a local wire service.",1,3,Bombing/Explosion,2,Government (General),18,"Government Personnel (excluding police, military)","Jammu and Kashmir State Assembly in Srinagar, India.",92,India,3,6,Explosives,The perpetrator drove the car to the scene of the attack and detonated the device in the car bomb.,31,60
200111020003,2001,10,23,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"10/23/2001: The editorial offices of the newspaper Daily Jang received an anthrax-laden letter in Karachi, Sindh province, Pakistan.  No staff members were infected by the anthrax.  No group claimed responsibility and specific motive is unknown; however, the newspaper has generally supported President Pervez Musharraf, a staunch supporter of the United States war against the Taliban.",0,8,Unarmed Assault,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Staff members of the Daily Jang newspaper,153,Pakistan,-99,1,Biological,Anthrax (Bacillus anthracis) laced letter,0,0
200111070002,2001,11,7,0,164,Qatar,10,Middle East & North Africa,Udeid,25.118305,51.323335,"11/07/2001: Abdullah Mubarak al-Hajri used a Kalashnikov assault rifle to attack the U.S. airbase in Al-Aidid, Qatar. The gunman was killed by a guard outside of the base.",0,2,Armed Assault,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,"US airbase in Al-Aidid, Qatar",217,United States,1,5,Firearms,He used a Kalashnikov assault rifle.,1,0
200111140006,2001,11,14,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"11/14/2001: Muslim separatists fired three grenades at a school in Srinagar, Jammu and Kashmir, India.  A senior minister in Jammu and Kashmir, Ali Mohammed Sagar, was attending  a function at the school at the time of the attack.  The grenades fell short of the school and no one was injured in the explosions.  No group claimed responsibility for the incident and specific motive is unknown.",0,3,Bombing/Explosion,2,Government (General),18,"Government Personnel (excluding police, military)","Ali Mohammed Sagar, a senior minister in Jammu and Kashmir",92,India,-99,6,Explosives,Three grenades fired at a private school,0,0
200111230004,2001,11,23,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"11/23/2001: A Muslim militant perpetrator hurled a grenade on a security personnel vehicle in crowded Lal Chowk area, Srinagar, Jammu and Kashmir, India. The grenade missed the target and exploded on the road, killing one and injuring 22. No groups claimed responsibility.",0,3,Bombing/Explosion,4,Military,35,Military Transportation/Vehicle (excluding convoys),Indian security vehicle,92,India,1,6,Explosives,A hand grenade was used in the incident.,1,22
200201220001,2002,1,22,0,92,India,6,South Asia,Kolkata,22.551729,88.352341,"01/22/2002: Two assailants affiliated with the Harkatul Jihad-e-Islamiand the Asif Raza Commandoesorganizations attacked the American Center in Calcutta, India. Five policemen died, and 15 others injured in the attack.",0,3,Bombing/Explosion,8,Educational Institution,49,School/University/Educational Building,American Cultural Center Calcutta Building,217,United States,2,6,Explosives,AK-47's were used in the attack.,5,15
200201280002,2002,1,0,0,45,Colombia,3,South America,Unknown,2.535935,-75.52767,"1/28/2002:  Members of the Revolutionary Armed Forces of Colombia (FARC) killed seven people in a rural area of Huila province, Colombia.  The assailants forced their way into a family residence, shot four family members, and decapitated a servant.  They proceeded to shoot two more people who were riding by on a motorcycle at the time of the attack.  Before fleeing, the assailants set fire to several surrounding houses.  Authorities speculate the attack may have been related to a recent closure of a route regularly used by FARC.",0,2,Armed Assault,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians living in a rural area of Huila province,45,Colombia,-99,5,Firearms,"Six people were shot, while the head of a seventh victim was cut off.",7,0
200203040004,2002,4,3,1,45,Colombia,3,South America,Santa Barbara district,2.45051,-77.98001,"4/3/2002: Suspected members of United Self Defense Units of Colombia (AUC) kidnapped a union leader near Santa Barbara, Nari�o Department, Colombia.  Paramilitaries set up an illegal checkpoint on the road between Santa Barbara and Monte Bello; they abducted Alfredo Zapata from a bus of cement factory employees.  His body was found on April 4, 2002.",0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,82,Labor Union Related,"Alfredo Zapata, a union leader for the Sole Union of Construction Material Industry",45,Colombia,-99,13,Unknown,No specific mention of weapons was made,1,0
200203210004,2002,3,21,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"3/21/2002: Two unidentified gunmen on a motorcycle shot and killed Kazim Jafri, a Shiite Muslim video store owner in Karachi, Sindh province, Pakistan.  The assailants opened fire on Jafri as they drove past his store, killing him and wounding two passersby.  Jaffri had been playing Shiite speeches at his store before the attack.   No group claimed responsibility for the incident.",0,2,Armed Assault,14,Private Citizens & Property,77,Laborer (General)/Occupation Identified,"Kazim Jafri, a Shiite Muslim storeowner",153,Pakistan,2,5,Firearms,A drive-by shooting,1,2
200204190004,2002,4,19,1,45,Colombia,3,South America,Rosas,2.261312,-76.74142,"4/19/2002: Members of National Liberation Army of Colombia (ELN) kidnapped at least six people near Rosas town in Cauca Department, Colombia.  The rebels set up a roadblock and stopped several vehicles, kidnapping Jesus Salazar, the mayor of Rosas, and at least five other people.  Specific motive is unknown; however, several days before the kidnapping, Salazar had led a march requesting that the rebels leave Rosas town alone.  The outcome of the kidnapping is unknown.",0,6,Hostage Taking (Kidnapping),2,Government (General),18,"Government Personnel (excluding police, military)","Jesus Salazar, the mayor of Rosas town",45,Colombia,-99,13,Unknown,No specific mention of weapons was made,0,0
200205010003,2002,5,1,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"05/01/2002: In two related incidents, perpetrators planted and exploded two bombs in Karachi, Pakistan. This first blast occurred at Al-Khair Juice Center and injured four people. Local authorities believed that these incidents were related to a recent labor strike orchestrated by Muttahida Qami Movement (MQM). MQM, however, did not claim responsibility for the incident.",0,3,Bombing/Explosion,1,Business,7,Retail/Grocery/Bakery,Al-Khair Juice Center,153,Pakistan,2,6,Explosives,A time fuse bomb was placed inside a paper bag.,0,4
200205290007,2002,5,29,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"5/29/2002: Three unidentified gunmen shot and wounded Zafar Iqbal, a reporter for the newspaper Kashmir Images, in Srinagar, Jammu and Kashmir, India.  The assailants entered the newspaper offices demanding to speak to Iqbal; they gave him a letter to sign and then shot him.  The gunmen were agitated about an article concerning Indian soldiers helping a family; the article could be construed as pro-military.  Before fleeing, the attackers damaged equipment and windows.",0,2,Armed Assault,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,"Zafar Iqbal, a reporter for the newspaper Kashmir Images",92,India,3,5,Firearms,Guns fitted with silencers,0,1
200207280002,2002,7,0,0,45,Colombia,3,South America,San Vicente del Caguan,2.113188,-74.769206,"7/27/2002: A bomb hidden in a car parked next to the police station exploded in San Vicente del Caguan, Caqueta Department, Colombia.  Four people were injured in the explosion, including one police officer.  In addition, 50 homes and 14 vehicles were damaged.  No group claimed responsibility, but authorities suspect the involvement of Revolutionary Armed Forces of Colombia (FARC).  Specific motive is unknown.",0,3,Bombing/Explosion,3,Police,22,"Police Building (headquarters, station, school)",The police station and local police officers in San Vicente del Caguan,45,Colombia,-99,6,Explosives,An explosive device hidden in a car parked outside of the police station,0,4
200209020003,2002,9,2,0,92,India,6,South Asia,Sheikhpora,34.188027,74.731146,"9/2/2002: Suspected militants opened fire at a National Conference election rally in Sheikhpora, Jammu and Kashmir, India.  The assailants targeted a motorcade that was transporting Sheikh Mustafa Kamaal, state Industries Minister, after he had addressed the rally.  No one was killed in the attack; however, one National Conference activist was injured and at least one vehicle was damaged.  No group claimed responsibility for the incident, which occurred two weeks before state elections were scheduled to begin.",0,1,Assassination,2,Government (General),18,"Government Personnel (excluding police, military)","Sheikh Mustafa Kamaal, state Industries Minister",92,India,-99,5,Firearms,"""Sophisticated weapons""",0,1
200209140003,2002,9,14,0,213,Uganda,11,Sub-Saharan Africa,Gulu,2.771679,32.288421,"9/14/2002: Suspected members of the Lord's Resistance Army (LRA) raided the Opiti Roman Catholic mission near Gulu, Acholi sub-region, northern Uganda.  The assailants looted the mission and surrounding settlements, then abducted several people, including two priests.  The rebels released the two priests later that same day, sending them back with a message for the Archbishop; the content of the message is unknown.",0,6,Hostage Taking (Kidnapping),15,Religious Figures/Institutions,85,Religious Figure,The Opiti mission in Omoro county and two priests at the mission,213,Uganda,-99,13,Unknown,No specific mention of weapons was made,0,0
200210030004,2002,10,2,0,44,China,4,East Asia,Guilin,25.273566,110.290195,"10/2/2002: An unidentified man detonated a bomb in Central Square in Guilin, Guangxi region, China.  The suicide bomber died in the explosion and 18 people were injured.  The specific motive behind the incident is unknown.  However, the country has been on high alert during the holiday week of National Day.",1,3,Bombing/Explosion,14,Private Citizens & Property,74,Marketplace/Plaza/Square,Civilians in Central Square,44,China,1,6,Explosives,A suicide bomber in Central Square,1,18
200211020002,2002,11,2,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"11/02/2002: In a series of related attacks, two perpetrators shot dead a Congress Party leader, two security guards, and a police officer in Srinagar, Kashmir, India. The al-Madina regiment claimed responsibility for the incident.",0,2,Armed Assault,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Congress Party leader Mohammad Sikandar Khan,92,India,2,5,Firearms,Unspecified guns were used in the incident.,4,0
200211200002,2002,11,20,0,173,Saudi Arabia,10,Middle East & North Africa,Kharj,24.153336,47.301217,"11/20/2002: An unknown perpetrator set on fire to a McDonald's in Kharj, Ar Riyad province, Saudi Arabia. There was a US air base near the restaurant. There are no reports of casualties in the fire, which was set with gasoline, though damage was done to the building.",0,7,Facility/Infrastructure Attack,1,Business,4,Multinational Corporation,McDonald's restaurant in Kharj,217,United States,1,8,Incendiary,Gasoline was used to burn the target in this incident.,0,0
200211210005,2002,11,21,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"11/21/2002: Perpetrators stormed into a hotel serving as a Central Reserve Police Force (CRPF) camp in Regal Chowk, Srinagar, Jammu and Kashmir, India, killing six police officers and injuring 10. One suicide bomber made entry into the hotel with a grenade and detonated the grenade when confronted by a CRPF member. A second perpetrator was killed in a firefight. Lashkar-e-Taiba claimed responsibility for the incident.",1,3,Bombing/Explosion,3,Police,22,"Police Building (headquarters, station, school)",A Central Reserve Police Force (CRPF) camp in Regal Chowk,92,India,4,6,Explosives,Grenades and guns were used in the incident.,8,10
200212050002,2002,12,5,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"12/05/2002: Islamic militants exploded a powerful bomb at Macedonia�s consulate office in Karachi, Pakistan. The militants are believed to have executed three people and stole computers and other property from the consulate before detonating a bomb inside the building. Police discovered scrawled messages on a wall inside the consulate referring to Al-Qaida and warned against ""infidels"" in Pakistan during their investigation. Nine suspected members of Harakat ul-Mujahidin Al-Almi were later arrested and convicted in August 2004 for their roles in the incident.",0,3,Bombing/Explosion,7,Government (Diplomatic),46,Embassy/Consulate,"The Macedonian consulate in Karachi, Pakistan",118,Macedonia,9,6,Explosives,The specific type of explosive used in this incident was not reported.,3,0
200302220002,2003,2,22,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"02/22/2003: At sunset, two gunmen on a Hondo CG-125 motorbike rode by a Shiite mosque (called an Imambargah) in the suburb of Malir, east of Karachi and opened fire with an AK-47 on a number of worshippers watching a cricket match on television. Nine of the worshippers died. Police officials strongly suspected the terrorist organization Lashkar-e-Jhangvi of perpetrating the attack. Police and anti-terrorism units carried out a number of raids across Karachi in investigating the incident, though none arrested were suspected of being behind the attack.",0,2,Armed Assault,15,Religious Figures/Institutions,86,Place of Worship,"Shiite place of worship (Imambargah) in Malir, east of Karachi",153,Pakistan,2,5,Firearms,An AK-47 was used.,9,7
200302270001,2003,2,27,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"02/27/2003: Late in the day, three men on a motorcycle opened automatic fire at two men of Iranian origin outside their bakery in Karachi.  Both men died on the spot, and the one gunman out of the three men on the motorcycle fled.  Police believed that the Iranians were deliberately targeted as a part of sectarian violence.  They were not caught.",0,2,Armed Assault,1,Business,7,Retail/Grocery/Bakery,Two Iranian nationals outside their bakery in central Karachi,94,Iran,3,5,Firearms,The gunman fired an automatic machine gun.,2,0
200302280001,2003,2,28,0,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"02/28/2003: Just before midday prayers local time, a lone gunman fired upon a police post guarding the U.S. Consulate in Karachi, Pakistan.  The gunman was firing from a park near the police post outside the Consulate.  Two policemen were killed and five civilians were injured.  No Americans were injured.  One of the perpetrators, Zulfiqar Ali, a Pakistani national, was arrested after being chased by police through a park.  Police recovered two pistols and a submachine gun seized from a police guard during the attack.  A note was found in his pocket which read: ""I am going to kill the police officers who are protecting the infidels ... this is my religious obligation.""  He was quickly thrown in jail and sentenced to death by an anti-terrorism court in Karachi on March 29, 2004.  He appealed the sentencing by claiming he was mentally retarded, which was rejected by the Sindh High Court on March 2, 2006.",0,2,Armed Assault,3,Police,25,Police Security Forces/Officers,Pakistani Police posted outside the US Consulate in Karachi,153,Pakistan,1,5,Firearms,"The perpetrator used two pistols, and later wrested control of a submachine gun from a police guard.",2,5
200304260001,2003,4,26,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,04/26/2003: A car bomb and ensuing gun battle outside the state radio and television station in Kashmir killed two soldiers and injured three paramilitary officers. The three suspected Islamic militants who perpetrated the bombing were also killed. Police found explosives strapped to the bodies of two of the dead attackers. Two different Pakistan-based Islamic rebel groups claimed responsibility for the attack.,1,3,Bombing/Explosion,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,State radio and television station in Kashmir,92,India,3,6,Explosives,Two of the dead attackers had explosives strapped to their bodies.,5,3
200306230006,2003,6,23,0,92,India,6,South Asia,Hari,33.690377,74.305955,"06/23/2003: Four unknown attackers invaded the home of Firoz Din in the Hari area of Poonch District in India�s Jammu and Kashmir State. Upon entering his home, the perpetrators injected Din with a lethal dose of poison that lead to his death. No group claimed responsibility for the murder.",0,1,Assassination,14,Private Citizens & Property,77,Laborer (General)/Occupation Identified,"Firoz Din, a possible police informer",92,India,4,2,Chemical,The militants injected a man with a poisonous substance leading to his death.,1,0
200402050009,2004,2,5,0,213,Uganda,11,Sub-Saharan Africa,Lira,2.258083,32.887407,"02/05/2004: The Lord's Resistance Army (LRA) attacked the Abia camp for internally displaced persons in northern Uganda. Approximately 300 rebels overpowered the government soldiers guarding the camp, but were eventually driven off by army reinforcements. Fifty-four civilians and two soldiers were killed, over seventy people were injured, and approximately twenty went missing as a result of this attack.",0,2,Armed Assault,14,Private Citizens & Property,65,Refugee (including Camps/IDP/Asylum Seekers),Abia camp for Displaced Persons in northern Uganda,213,Uganda,300,5,Firearms,"The victims sustained gunshot wounds, machete wounds and burns.",56,70
