eventid,year,imonth,extended,country,country_txt,region,region_txt,city,summary,success,suicide,attacktype1,attacktype1_txt,nperps,weaptype1,weaptype1_txt,weapdetail,nkill,nwound
199512080005,1995,12,0,217,United States,1,North America,New York City,"12/08/1995: An assailant attacked Freddy's Fashion Mart in Harlem, New York City, New York, United States. The assailant, identified as Roland James Smith (aka Aboudima Moulika), was armed with a .38 caliber revolver and a canister of paint thinner. He shot and wounded four people before barricading himself and others inside the building and starting a fire that destroyed the first floor of the building. Smith shot and killed himself, and the fire killed seven others who were trapped in the store. Smith had been among protesters picketing the store in an ongoing landlord-tenant dispute with neighboring stores, which some protesters viewed as racially motivated. Witnesses reported that Smith carried out the attack because he mistakenly believed that the owner of the store was engaging in racially discriminatory hiring practices.",1,1,5,Hostage Taking (Barricade Incident),1,5,Firearms,A .38-caliber revolver and paint thinner.,8,4
199512110017,1995,11,0,186,Sri Lanka,6,South Asia,Colombo,"11/11/1995: Two suicide bombers from the Liberation Tigers of Tamil Eelam (LTTE) detonated at the Army headquarters in Colombo, Sri Lanka.  The first bomber was detained at the front entrance of headquarters for a document check, but managed to run into the compound before detonating.  He killed himself and two soldiers in the vicinity.  The soldiers panicked and began firing into a nearby hotel.  The second detonated about 300 yards away from headquarters, at the Slave Island Railway Station in Colombo, Sri Lanka.  At least 14 civilians were killed and a minimum 17 were wounded at the railway station.  In total, at all locations, at least 15 civilians and two soldiers were killed in total, and at least 59 civilians were injured.",1,1,3,Bombing/Explosion,2,6,Explosives,Two suicide bombers,19,59
199512250155,1995,12,0,183,South Africa,11,Sub-Saharan Africa,Shobashobane,"12/25/1995: At least 500 suspected members of Inkatha Freedom Party (IFP) attacked the Shobashobane settlement in KwaZulu-Natal province, South Africa.  The assailants, armed with guns, axes and spears, killed 14 villagers and wounded at least another 20 villagers; they also lit several houses on fire.  Specific motive behind the assault is unknown; however, Shobashobane is a stronghold of African National Congress (ANC).",1,0,2,Armed Assault,500,9,Melee,Most of the victims were stabbed and hacked to death,14,20
199703210142,1997,3,0,97,Israel,10,Middle East & North Africa,Petah Tiqwa,"3/21/1997: A bomb detonated at a caf� in Tel Aviv, Israel.  The bomber, Mousa Abdel Khader Ghneimat, was killed in the explosion along with three other civilians; at least 47 people were wounded.  The bomber was a Palestinian Moslem who was from Sourif, a village in the West Bank.  Sources received a phone claiming that the Hamas (Islamic Resistance Movement) was responsible for the attack; three weeks later, authorities located and broke up the Hamas cell.",1,0,3,Bombing/Explosion,1,6,Explosives,An explosive device with a delayed-action fuse,4,47
199706090010,1997,6,0,124,Malta,8,Western Europe,Luqa,"6/9/1997: Two Turkish men hijacked an Air Malta passenger flight leaving from an airport in Malta bound for Istanbul.  One of the hijackers had fake explosives strapped to his chest; he threatened to blow up the plane unless it was rerouted to Cologne, Germany.  In addition, the hijackers demanded the release of Mehmet Ali Agca, a Turkish man who was in prison in Italy for attempting to assassinate Pope John Paul in 1981.  The assailants also requested an interview with a television station.  After landing in Cologne, the two hijackers allowed five of the 80 passengers and crew to deplane.   The two men eventually surrendered.",1,0,4,Hijacking,2,7,Fake Weapons,Fake explosive strapped to the chest,0,0
199802140004,1998,2,0,92,India,6,South Asia,Coimbatore,"02/14/1998: Six suspected militants were killed when a bomb that they were about to hurl at police exploded prematurely in Coimbatore, India. No one was injured in the attack.",1,0,3,Bombing/Explosion,6,6,Explosives,"An explosive device, which exploded prematurely as attackers were preparing to throw it, was used in the attack.",6,0
199802250005,1998,2,0,6,Algeria,10,Middle East & North Africa,Algiers,"2/25/1998: An unidentified perpetrator, believed to be affiliated with the Islamic insurgency in Algeria, threw an explosive device at a bus that was stationed at Martyrs' Square in Algiers, Algeria.  Thirteen Algerian civilians were wounded by the blast and the bus was damaged.  Before the assailant could be apprehended, another extremist fired his gun into the air allowing both men to flee amidst the confusion.",1,0,3,Bombing/Explosion,2,6,Explosives,Explosive device thrown at target,0,13
199803070003,1998,3,0,6,Algeria,10,Middle East & North Africa,Algiers,"3/7/1998: An unidentified male, believed to be affiliated with the Islamic insurgency in Algeria, threw a homemade grenade at a bus in Algiers, Algeria.  The explosive device bounced off the bus and detonated within the bus station.  Twelve Algerian civilians were wounded by the blast and many of the bus' windows were shattered.  It is unknown if the perpetrator was arrested by Algerian authorities.",1,0,3,Bombing/Explosion,1,6,Explosives,Homemade grenade,0,12
199807270006,1998,7,0,186,Sri Lanka,6,South Asia,Colombo,"07/27/1998: Two members of the Liberation Tigers of Tamil Eelam (LTTE) were arrested outside of Colombo, Sri Lanka, with a time bomb that they were planting outside of the place where the South Asia Summit was going to be held.",0,0,3,Bombing/Explosion,2,6,Explosives,One pound of plastic explosives,0,0
199811060001,1998,11,0,209,Turkey,10,Middle East & North Africa,Dikbiyik,"11/06/1998: Four unidentified attackers threw a Molotov cocktail at a cafe in Dikbiyik, Samsun Province, Turkey. An assailant and security official were injured in the attack.",1,0,7,Facility/Infrastructure Attack,4,8,Incendiary,Molotov cocktail,0,2
199811170001,1998,11,0,21,Belgium,8,Western Europe,Brussels,"11/17/1998: Between 200 and 300 Turks led by activists of the Turkish far-right movement, Lupi Grigi (Grey Wolves), attacked premises housing Kurdish cultural associations with petrol bombs and bricks. The attack occurred in the Saint-Josse-ten-Noode Municipality of the Brussels-Capital Region, Belgium.",1,0,7,Facility/Infrastructure Attack,300,8,Incendiary,Petrol bombs and bricks,0,0
199901080005,1999,1,0,183,South Africa,11,Sub-Saharan Africa,Cape Town,"01/08/1999: A Kentucky Fried Chicken in Cape Town, South Africa was fire-bombed by five unidentified youths. The bomb caused damage, but no injuries. No group claimed responsibility for the attack.",1,0,3,Bombing/Explosion,5,8,Incendiary,Fire-Bomb,0,0
199901100001,1999,1,0,185,Spain,8,Western Europe,Eibar,"01/10/1999: A Spanish Civil Guard paramilitary policeman was injured in a petrol bomb attack in the industrial town of Eibar, Spain. The policeman was on guard duty when he confronted two individuals who threw the petrol bomb at him. The government viewed recent violence as a deliberate tactic by the Euskadi ta Askatasuna (ETA) to maintain tension despite its ceasefire decision on September 1998.",1,0,3,Bombing/Explosion,2,8,Incendiary,A petrol bomb was used in the attack.,0,1
199902190001,1999,2,1,199,Switzerland,8,Western Europe,Berne,"02/19/1999: The Swiss Radical-Democratic Party (PRD) in central Berne, Switzerland, was stormed by some 30 to 40 Kurdish men from the Kurdistan Workers' Party (PKK), armed with jerry cans. Two hostages were taken and eventually released unharmed. Twelve Kurds were subsequently arrested, but reports did not indicate whether they were charged with any crime.",1,0,5,Hostage Taking (Barricade Incident),30,8,Incendiary,The protestors used Jerry cans.,0,0
199903180005,1999,3,0,209,Turkey,10,Middle East & North Africa,Mus,"03/18/1999: Two unnamed perpetrators were caught after they threw a petrol bomb at the office of a Mayoral candidate from the Nationalist Movement Party (MHP) in Mus, Turkey. The bomb started a fire, but caused only minor damage before it was extinguished. Reports did not state whether the perpetrators acted on behalf of a group.",1,0,3,Bombing/Explosion,2,8,Incendiary,Molotov cocktails were used in the attack.,0,0
199903190005,1999,3,0,167,Russia,9,Eastern Europe,Vladikavkaz,"03/19/1999: A bomb was detonated in the central market of Vladikavkaz, North Ossetia, Russia. The explosion killed 64 people and injured 104. The equivalent of 10 kg of TNT was placed in a car and detonated. According to the reports, an unnamed obscure Wahhabite group, with ties to al- Qaida strongly suspected, claimed responsibility. The name of the group was not given, but Osama Bin Laden or the Jordanian Chechnya field commander 'Hattab' were thought to be the masterminds. Two men, aged 18 and 33 were sought in connection with the attack.",1,0,3,Bombing/Explosion,2,6,Explosives,The equivalent of 10kg of TNT placed in car and detonated by unknown method.,64,104
199903240002,1999,3,0,185,Spain,8,Western Europe,Pamplona,"03/24/1999: Two unidentified, hooded perpetrators set fire to a policeman�s car in Pamplona, Spain. The car was damaged, but there were no casualties.",1,0,7,Facility/Infrastructure Attack,2,8,Incendiary,The car was doused in gasoline and lit on fire.,0,0
199903310004,1999,3,0,45,Colombia,3,South America,Bucaramanga,"03/31/1999: A bomb exploded at the Casa Hermes appliance store in Bucaramanga, Colombia. Fifteen other nearby stores were also damaged in the attack. The bomb, which contained 20kg of explosives, was placed in a jeep. The perpetrators were believed to be members of the National Liberation Army (NLA). No one was injured in the attack, as it happened before dawn.",1,0,3,Bombing/Explosion,2,6,Explosives,Twenty kg of explosives were used.,0,0
199904200004,1999,4,0,217,United States,1,North America,Littleton,"04/20/1999: Two armed high school students opened fire in Columbine High School, killing 12 students and one teacher, and wounding 24 before committing suicide. The school is located in Littleton, Colorado, U.S.A.",1,1,6,Hostage Taking (Kidnapping),2,5,Firearms,"The two perpetrators each had numerous guns, Molotov cocktails, knives, pipe bombs, and other types of explosive devices.",15,24
199905130002,1999,5,0,75,Germany,8,Western Europe,Bielefeld,"05/13/1999: A paint bomb containing butyric acid was thrown at German Foreign Minister Joschka Fischer in Bielefeld, Germany, by an unknown perpetrator. The projectile hit the Minister in the right ear, injuring him.",1,0,8,Unarmed Assault,1,2,Chemical,The attacker threw a paintball containing butyric acid.,0,1
199906300002,1999,6,0,75,Germany,8,Western Europe,Stuttgart,"06/30/1999: Three unidentified men threw fire bombs through the windows of the Turkish Islamic Solidarity Association in Stuttgart, Germany, following the death-sentence verdict for Kurdistan Workers' Party (PKK) leader, Abdullah Ocalan, in Turkey. One person was injured in this incident, which was one of many that occurred in Germany directly following Ocalan's verdict announcement.",1,0,2,Armed Assault,3,8,Incendiary,Five firebombs were used in the attack.,0,1
199906300003,1999,6,0,75,Germany,8,Western Europe,Berlin,"06/30/1999: Three masked men threw Molotov cocktails into a Turkish cafe in Berlin, Germany, following the death-sentence for Kurdistan Workers' Party (PKK) leader, Abdullah Ocalan, in Turkey. The fire was quickly put out, and no casualties or injuries were reported in this incident, which was one of many that occurred in Germany directly following Ocalan's verdict announcement.",1,0,3,Bombing/Explosion,3,6,Explosives,Molotov Cocktails were used in the attack.,0,0
199907040003,1999,7,0,6,Algeria,10,Middle East & North Africa,Laouana  Municipality,07/04/1999: A remote-triggered homemade bomb exploded along a road in an area known as Guerne in the Guerrouche mountains of Turkey while members of the People's National Army were passing through. The explosion left six members of the People's National Army dead and four others wounded. The attack was carried out by the Armed Islamic Group (GIA) in protest of the decision by the Islamic Salvation Army to accept a truce.,1,0,3,Bombing/Explosion,12,6,Explosives,The device was a roadside bomb.,6,4
199908060001,1999,8,0,209,Turkey,10,Middle East & North Africa,Konak District,"08/06/1999: An explosive device was placed next to the wall adjacent to the door of the headquarters of the Socialist Power Party SIP at No. 2 Birlesmis Milletler Avenue in Konak District, Turkey. The bomb exploded at approximately 00:50 local time. The door of the building was damaged, but there were no casualties. It was noted that about one hour after the explosion, an unidentified individual called the 155 police emergency hotline and said that ""he held the party members responsible for the fact that his younger sister had joined the party and that this is the reason he planted the bomb.""",1,0,3,Bombing/Explosion,1,6,Explosives,The explosive device consisted of a tube 20 to 25 cm long and 3.5 cm wide filled with 70 marbles and a quantity of gunpowder.,0,0
199908150005,1999,8,1,45,Colombia,3,South America,El Tarra district,"8/15/1999:  The Bishop of Tibu, Mgr Jose de Jesus Quintero Diaz, was kidnapped by the Popular Liberation Army (EPL) while traveling between El Tarra and Tibu, Colombia.  The perpetrators stopped the vehicle the Bishop was traveling in and took him captive, while allowing his travel companions to go free.  The Bishop was released on September 19, 1999.  The EPL claims it was making a point about security issues in the area.",1,0,6,Hostage Taking (Kidnapping),100,13,Unknown,"The captors were described as ""armed""",0,0
199909050004,1999,9,0,87,Haiti,2,Central America & Caribbean,Port-au-Prince,"9/5/1999: Sauveur Pierre Etienne, secretary of the Struggling People's Organization, was fired at in Port-au-Prince, Haiti.  The gunman stepped out on the road and fired at Etienne as he and his family were leaving the airport; the gunman only managed to hit the hood of the car.  Etienne returned fire and injured the attacker, who then fled with an accomplice.",0,0,1,Assassination,2,5,Firearms,A pistol,0,1
199909100002,1999,9,0,209,Turkey,10,Middle East & North Africa,Istanbul,"9/10/1999: A bomb exploded at the Treasury building in Istanbul, Turkey.   The building was badly damaged and 10 people were injured.  Seven members of the Revolutionary People's Liberation Party-Front (DHKP-C) were later arrested in connection with the attack and another one that occurred the same night.",1,0,3,Bombing/Explosion,7,6,Explosives,"The explosives were likely ""industrially manufactured dynamite or explosives of the TNT type"" and were detonated with ""with cellular phone and remote control bomb mechanisms""",0,10
199909100003,1999,9,0,209,Turkey,10,Middle East & North Africa,Istanbul,"9/10/1999: A bomb exploded at the Labour and Social Security Ministry in Istanbul, Turkey.   The building was damaged and 10 people were injured.  Seven members of the Revolutionary People's Liberation Party-Front (DHKP-C) were later arrested in connection with the attack and another one that occurred the same night.",1,0,3,Bombing/Explosion,7,6,Explosives,"The explosives were likely ""industrially manufactured dynamite or explosives of the TNT type"" and were detonated with ""with cellular phone and remote control bomb mechanisms""",0,10
199909150003,1999,9,0,97,Israel,10,Middle East & North Africa,Tiberias,"9/05/1999: A bomb exploded in a car moving along a main street in Tiberias, Israel.  The driver and one passenger, members of the Islamic Movement, were killed in the explosion and four bystanders were injured.  Five people were later arrested in connection with this incident and a similar bombing in Haifa on the same day.  The incident occurred less than 24 hours after Israel and Palestine signed a deal that reinitiated the peace process.",1,1,3,Bombing/Explosion,2,6,Explosives,A car bomb,2,4
199909280006,1999,9,0,1003,Kosovo,9,Eastern Europe,Kosovo Polje,"9/28/1999: Two rifle-propelled grenades were fired into an outdoor market in Kosovo Polje, Kosovo, Yugoslavia.  Two Serbs were killed and at least 37 were injured in the attack.  Four men were arrested; two were ethnic Albanians.",1,0,3,Bombing/Explosion,4,6,Explosives,Two rifle-propelled grenades,2,37
199910010008,1999,10,0,209,Turkey,10,Middle East & North Africa,Istanbul,"10/01/1999: Two unidentified assailants hurled a firebomb into an unnamed bank branch in the Kagithane district of Istanbul, Turkey. No casualties were reported in the attack, but the blast caused minor property damage.",1,0,7,Facility/Infrastructure Attack,2,8,Incendiary,The device was a firebomb.,0,0
199910010009,1999,10,0,36,Cambodia,5,Southeast Asia,Phnom Penh,"10/01/1999: Lim Rattana, the editor of Cambodia's Sathea Ronakrath (The Republican) newspaper, and his wife were the victims of a daylight grenade attack, when two men on a motorcycle tossed a home-made grenade onto the roof of their car, in Phnom Penh, Cambodia. The grenade did not fully explode, therefore, no casualties and only slight damage to the roof of the car occurred. During the previous month, Rattana's newspaper had been ordered to shut down for 30 days for articles criticizing King Norodom Sihanouk for partially causing Camobodia'a civil war.",1,0,3,Bombing/Explosion,2,6,Explosives,The device was a homemade grenade.,0,0
199910030005,1999,10,0,36,Cambodia,5,Southeast Asia,Phnom Penh,"10/03/1999: A car driven by Mrs. Vuth Sreileak, wife of Lim Ratana, the editor of Cambodia's Sathea Ronakrath (The Republican) newspaper, came under attack when two persons in civilian clothes riding a C-100 motorcycle got close to the car and tossed an explosive device onto the car's roof. No one was injured and only slight damage occurred. This was the second attack on the editor and his family within three days. During the previous month, Rattana's newspaper had been ordered to shut down for 30 days for articles criticizing King Norodom Sihanouk for partially causing Camobodia'a civil war.",1,0,3,Bombing/Explosion,2,6,Explosives,The device was TNT powder in a plastic can rigged with a remote control.,0,0
199910190001,1999,10,0,167,Russia,9,Eastern Europe,Aksarayskiy,"10/19/1999: In Russia, two suspected Chechen rebels, armed with machine guns and grenades, attempted to blow up a railway line in Astrakhan Oblast, fifty kilometers north of the oblast capital city of Astrakhan. At approximately 1 a.m. local time, the perpetrators were spotted by a passing driver while they were installing the bomb along the track at a spot where the Moscow-Dushanbe line was soon scheduled to pass. They fired at the driver, who drove away after being wounded, and then hastily completed planting the bomb. The device was not put together properly and did not damage the railway tracks when it exploded. The perpetrators subsequently injured an additional four people and killed another four, including three policemen, in a day-long shooting spree before vanishing into the flood plain of the Volga River.",0,0,2,Armed Assault,2,5,Firearms,The perpetrators planted TNT on the railroad tracks.,4,6
199910240002,1999,10,0,93,Indonesia,5,Southeast Asia,Krueng Sabee,"10/24/1999: At approximately 6:45 pm local time, an unknown perpetrator on a motorcycle threw a homemade bomb at the Krueng Sabee Police Sector Command headquarters in Kreung Sabee, West Aceh, Indonesia. The roof, walls and windows of the building were badly damaged in the blast, but there were no casualties were suffered.",1,0,3,Bombing/Explosion,1,6,Explosives,The device was a homemade bomb.,0,0
199911000001,1999,11,0,141,Nepal,6,South Asia,Rolpa district,"11/00/1999: Police check posts in Rolpa, Nepal, were attacked by more than 150 Maoist insurgents, leaving 5 policemen dead.",1,0,2,Armed Assault,150,5,Firearms,The type of firearm was not specified.,5,0
199911010004,1999,10,0,1003,Kosovo,9,Eastern Europe,Pristina,"10/31/1999: Two individuals shot and injured Momcilo Trajkovic, the chairman of the Executive Committee of the Serbian National Council of Kosovo-Metohija (SNV KiM), in Pristina, Kosovo, Yugoslavia.  The Serbian leader was shot in the leg when the two Albanian-speaking assailants showed up at his apartment and demanded that he open the door.",1,0,2,Armed Assault,2,5,Firearms,"""A small caliber weapon""",0,1
199911030004,1999,11,0,92,India,6,South Asia,Srinagar,"11/03/1999: Assailants armed with firearms carried out a fidayeen attack at the Badami Bagh Cantonment in Srinagar, Jammu and Kashmir, India. At least eight people, including two assailants, were killed and two other people were injured in the assault. Lashkar-e-Taiba (LeT) claimed responsibility for the incident.",1,1,2,Armed Assault,3,5,Firearms,The attackers used AK-47s and grenades in the attack.,8,2
199911040005,1999,11,0,6,Algeria,10,Middle East & North Africa,Fernane,"11/04/1999: A group of about 12 people set up a false roadblock and sprayed automatic fire at a minibus, resulting in four deaths and two injuries in Fernane, Algeria. Another man was also killed and a woman kidnapped, from a car, at the roadblock. There was a total of five dead and two injured in the attack. No information could be found indicating the outcome of the kidnapped woman.",1,0,2,Armed Assault,12,5,Firearms,The weapons were described as automatic firearms.,5,2
199911050003,1999,11,0,5,Albania,9,Eastern Europe,Bujan,"11/05/1999: The chief of public order and an associate were assassinated in Bujan, Albania. In the ensuing chaos, 2 of the 3 assailants were killed. It was unknown who was responsible for the incident.",1,0,1,Assassination,3,5,Firearms,The type of gun was not reported.,4,1
199911050007,1999,11,0,6,Algeria,10,Middle East & North Africa,Figuier,"11/05/1999: Ten people armed with Kalashnikov rifles attacked a restaurant frequented by soldiers in Figuier, Algeria, killing five military officers and injuring an additional six people. Members of the Armed Islamic Group (GIA) were suspected responsible for the attack.",1,0,2,Armed Assault,10,5,Firearms,The attackers used Kalashnikov rifles.,5,6
199911060002,1999,11,0,6,Algeria,10,Middle East & North Africa,Dellys,"11/06/1999: Two police officers, the Chief and Deputy Chief of the Post, were killed while walking toward a shop by two unknown assailants with pistols in Dellys, Algeria.",1,0,1,Assassination,2,5,Firearms,Automatic pistols were used in the incident.,2,0
199911070005,1999,11,0,78,Greece,8,Western Europe,Athens,"11/07/1999: Two gunmen strafed the Hellenic-American Union in Athens, Greece, with gunfire ahead of a planned visit by U.S. President Bill Clinton. There were no reported casualties. It was unknown who was responsible for the incident.",1,0,2,Armed Assault,2,5,Firearms,The weapons were described as pistols.,0,0
199911080001,1999,11,1,147,Nigeria,11,Sub-Saharan Africa,Escravos,"11/08/1999: Fourteen unidentified youths armed with machetes boarded a Belize-owned ship near Escravos, Nigeria. They kidnapped an American and a Nigerian citizen. The hostages were freed on 11/12/1999.",1,0,7,Facility/Infrastructure Attack,14,9,Melee,The perpetrators used machetes in the attack.,0,0
199911110003,1999,11,0,69,France,8,Western Europe,Saint-Florent,11/11/1999: Three people were tied up by guerillas from the Fronte di Liberazione Naziunale di a Corsica (FLNC) who threatened to blow up area houses. The victims managed to free themselves six hours later. No casualties were reported from the incident.,1,0,5,Hostage Taking (Barricade Incident),10,9,Melee,"The men tied up their victims, but there were no reports of additional weapons in the attack.",0,0
199911110005,1999,11,0,78,Greece,8,Western Europe,Athens,"11/11/1999: Six unknown masked assailants attacked the office of the Greek Communist Party (KKE), injuring three people.",1,0,8,Unarmed Assault,6,9,Melee,The attackers used pipes and clubs.,0,3
