eventid,year,imonth,iday,extended,country,country_txt,region,region_txt,city,latitude,longitude,summary,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,target1,natlty1,natlty1_txt,nperps,weaptype1,weaptype1_txt,weapdetail,nkill,nwound
199706090010,1997,6,9,0,124,Malta,8,Western Europe,Luqa,35.859981,14.489218,"6/9/1997: Two Turkish men hijacked an Air Malta passenger flight leaving from an airport in Malta bound for Istanbul.  One of the hijackers had fake explosives strapped to his chest; he threatened to blow up the plane unless it was rerouted to Cologne, Germany.  In addition, the hijackers demanded the release of Mehmet Ali Agca, a Turkish man who was in prison in Italy for attempting to assassinate Pope John Paul in 1981.  The assailants also requested an interview with a television station.  After landing in Cologne, the two hijackers allowed five of the 80 passengers and crew to deplane.   The two men eventually surrendered.",1,0,4,Hijacking,6,Airports & Aircraft,An Air Malta flight leaving from Malta and bound for Istanbul,124,Malta,2,7,Fake Weapons,Fake explosive strapped to the chest,0,0
199802190002,1998,2,19,0,6,Algeria,10,Middle East & North Africa,Algiers,36.763763,3.055413,"02/19/1998: A home-made bomb was left inside a plastic bag in Laayoune Cafe in Bab El Oued district in Algiers. The owner of the cafe discovered the bomb and threw it outside the cafe. The unknown perpetrator and one civilian were killed during the attack, and no one else was injured.",1,0,3,Bombing/Explosion,1,Business,Laayoune Cafe,6,Algeria,1,6,Explosives,A homemade bomb hidden in a plastic bag was used in the attack.,2,0
199802250005,1998,2,25,0,6,Algeria,10,Middle East & North Africa,Algiers,36.763763,3.055413,"2/25/1998: An unidentified perpetrator, believed to be affiliated with the Islamic insurgency in Algeria, threw an explosive device at a bus that was stationed at Martyrs' Square in Algiers, Algeria.  Thirteen Algerian civilians were wounded by the blast and the bus was damaged.  Before the assailant could be apprehended, another extremist fired his gun into the air allowing both men to flee amidst the confusion.",1,0,3,Bombing/Explosion,19,Transportation,Algerian civilians in Algiers,6,Algeria,2,6,Explosives,Explosive device thrown at target,0,13
199803050001,1998,3,5,0,603,United Kingdom,8,Western Europe,London,51.504387,-0.140041,"03/05/1998: Edgar Pearce, the Mardi Gra bomber, bombed the Sainsbury's grocery store in London, United Kingdom. The explosion injured one person and caused minor damage to the store.",1,0,3,Bombing/Explosion,1,Business,"Sainsbury's Grocery Store in London, United Kingdom",216,Great Britain,1,6,Explosives,Shotgun device,0,1
199803070003,1998,3,7,0,6,Algeria,10,Middle East & North Africa,Algiers,36.763763,3.055413,"3/7/1998: An unidentified male, believed to be affiliated with the Islamic insurgency in Algeria, threw a homemade grenade at a bus in Algiers, Algeria.  The explosive device bounced off the bus and detonated within the bus station.  Twelve Algerian civilians were wounded by the blast and many of the bus' windows were shattered.  It is unknown if the perpetrator was arrested by Algerian authorities.",1,0,3,Bombing/Explosion,19,Transportation,Algerian civilians in Algiers,6,Algeria,1,6,Explosives,Homemade grenade,0,12
199803200002,1998,3,20,0,603,United Kingdom,8,Western Europe,Londonderry,55.011562,-7.312045,"03/20/1998: The Continuity Irish Republican Army (CIRA) threw a bomb into the Northern Bank in Londonderry, Northern Ireland. The bomb did not explode and there were no casualties in this incident.",0,0,3,Bombing/Explosion,1,Business,Northern Bank in Londonderry,233,Northern Ireland,2,6,Explosives,The bomb did not explode. A bomb disposal unit performed a controlled explosion.,0,0
199805120002,1998,5,12,0,45,Colombia,3,South America,Bogota,4.667128,-74.106056,"05/12/1998: Retired General Fernando Landazabal Reyes was shot and killed outside of his home in northern Bogota, Colombia, by two paid assassins, suspected of being members of the ""Domingo Lain"" guerilla front of the National Liberation Army (NLA).",1,0,2,Armed Assault,4,Military,Retired General Fernando Landazabal Reyes,45,Colombia,2,5,Firearms,Acid,1,0
199808080002,1998,8,8,0,159,Peru,3,South America,Saposoa,-6.936434,-76.771772,"08/08/1998: Thirty unknown perpetrators stormed the main square in Saposoa, Peru, carrying long-range weapons, hand grenades, and Instalaza rifle grenades. The neighborhood alliance, which was nominating Luis Ordonez Sanchez for local mayor, was holding a political rally at the time. Three people were killed and another three were injured in the attack.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,"Civilians at the main square in Saposoa, Peru",159,Peru,30,6,Explosives,"The perpetrators carried long-range weapons, hand grenades, and Instalaza rifle grenades.",3,3
199810110007,1998,10,11,0,45,Colombia,3,South America,Albania,5.758643,-73.915268,"10/11/1998: Three-hundred Fuerzas Armadas Revolucionarias de Colombia (FARC) guerrillas attacked a police station in Albania, Colombia. The attack killed two policemen, wounded five, and left three missing. The police station was destroyed and the assailants stole privately owned cars, two buses, and three ambulances and set some houses on fire.",1,0,3,Bombing/Explosion,3,Police,"Police Station in Albania, Colombia",45,Colombia,300,6,Explosives,A powerful bomb and numerous explosive devices were used in this attack.,2,5
199811170001,1998,11,17,0,21,Belgium,8,Western Europe,Brussels,50.836426,4.367415,"11/17/1998: Between 200 and 300 Turks led by activists of the Turkish far-right movement, Lupi Grigi (Grey Wolves), attacked premises housing Kurdish cultural associations with petrol bombs and bricks. The attack occurred in the Saint-Josse-ten-Noode Municipality of the Brussels-Capital Region, Belgium.",1,0,7,Facility/Infrastructure Attack,12,NGO,Kurdish Cultural Association in Saint-Josse-ten-Noode,21,Belgium,300,8,Incendiary,Petrol bombs and bricks,0,0
199901080005,1999,1,8,0,183,South Africa,11,Sub-Saharan Africa,Cape Town,-33.941849,18.41964,"01/08/1999: A Kentucky Fried Chicken in Cape Town, South Africa was fire-bombed by five unidentified youths. The bomb caused damage, but no injuries. No group claimed responsibility for the attack.",1,0,3,Bombing/Explosion,1,Business,Kentucky Fried Chicken restaurant,217,United States,5,8,Incendiary,Fire-Bomb,0,0
199901100001,1999,1,10,0,185,Spain,8,Western Europe,Eibar,43.18418,-2.473289,"01/10/1999: A Spanish Civil Guard paramilitary policeman was injured in a petrol bomb attack in the industrial town of Eibar, Spain. The policeman was on guard duty when he confronted two individuals who threw the petrol bomb at him. The government viewed recent violence as a deliberate tactic by the Euskadi ta Askatasuna (ETA) to maintain tension despite its ceasefire decision on September 1998.",1,0,3,Bombing/Explosion,3,Police,A Spanish Civil Guard paramilitary policeman,185,Spain,2,8,Incendiary,A petrol bomb was used in the attack.,0,1
199901170001,1999,1,17,0,183,South Africa,11,Sub-Saharan Africa,Lothair,-26.38476,30.432278,"01/17/1999: An Inkatha Freedom Party branch chairman and his wife were shot dead and hacked with machetes at their home in Lothair, South Africa. The attack was believed to be a politically motivated attack, but the perpetrators were unknown.",1,0,1,Assassination,2,Government (General),"Inkatha Freedom Party Branch Chairman, Senzangakhona Cornelius Nkosi, and his wife, Christina in Lothair, South Africa",183,South Africa,2,5,Firearms,The victims were shot and then their bodies were hacked with machetes.,2,0
199902190001,1999,2,19,1,199,Switzerland,8,Western Europe,Berne,46.947922,7.444608,"02/19/1999: The Swiss Radical-Democratic Party (PRD) in central Berne, Switzerland, was stormed by some 30 to 40 Kurdish men from the Kurdistan Workers' Party (PKK), armed with jerry cans. Two hostages were taken and eventually released unharmed. Twelve Kurds were subsequently arrested, but reports did not indicate whether they were charged with any crime.",1,0,5,Hostage Taking (Barricade Incident),2,Government (General),"Swiss Radical-Democratic Party (PRD) in central Berne, Switzerland",199,Switzerland,30,8,Incendiary,The protestors used Jerry cans.,0,0
199903240002,1999,3,24,0,185,Spain,8,Western Europe,Pamplona,42.815372,-1.653616,"03/24/1999: Two unidentified, hooded perpetrators set fire to a policeman�s car in Pamplona, Spain. The car was damaged, but there were no casualties.",1,0,7,Facility/Infrastructure Attack,3,Police,"Police in Pamplona, Spain",185,Spain,2,8,Incendiary,The car was doused in gasoline and lit on fire.,0,0
199903310004,1999,3,31,0,45,Colombia,3,South America,Bucaramanga,7.116294,-73.120026,"03/31/1999: A bomb exploded at the Casa Hermes appliance store in Bucaramanga, Colombia. Fifteen other nearby stores were also damaged in the attack. The bomb, which contained 20kg of explosives, was placed in a jeep. The perpetrators were believed to be members of the National Liberation Army (NLA). No one was injured in the attack, as it happened before dawn.",1,0,3,Bombing/Explosion,1,Business,Casa Hermes Appliance Store in Colombia,45,Colombia,2,6,Explosives,Twenty kg of explosives were used.,0,0
199905130002,1999,5,13,0,75,Germany,8,Western Europe,Bielefeld,52.023062,8.533072,"05/13/1999: A paint bomb containing butyric acid was thrown at German Foreign Minister Joschka Fischer in Bielefeld, Germany, by an unknown perpetrator. The projectile hit the Minister in the right ear, injuring him.",1,0,8,Unarmed Assault,7,Government (Diplomatic),German Foreign Minister Joschka Fischer,75,Germany,1,2,Chemical,The attacker threw a paintball containing butyric acid.,0,1
199905300001,1999,5,30,0,213,Uganda,11,Sub-Saharan Africa,Kampala,0.350848,32.580224,"05/30/1999: Attackers threw a grenade at a crowded bar in Kampala, Uganda, killing one woman and injuring nine others. The National Army for the Liberation of Uganda claimed responsibility for the attack.",1,0,3,Bombing/Explosion,1,Business,Civilians at the Siira Club bar located in Kampala,213,Uganda,1,6,Explosives,The attacker used a hand grenade.,1,9
199906300002,1999,6,30,0,75,Germany,8,Western Europe,Stuttgart,48.777106,9.180769,"06/30/1999: Three unidentified men threw fire bombs through the windows of the Turkish Islamic Solidarity Association in Stuttgart, Germany, following the death-sentence verdict for Kurdistan Workers' Party (PKK) leader, Abdullah Ocalan, in Turkey. One person was injured in this incident, which was one of many that occurred in Germany directly following Ocalan's verdict announcement.",1,0,2,Armed Assault,15,Religious Figures/Institutions,Islamic Solidarity Association office in Stuttgart,209,Turkey,3,8,Incendiary,Five firebombs were used in the attack.,0,1
199906300003,1999,6,30,0,75,Germany,8,Western Europe,Berlin,52.50153,13.401851,"06/30/1999: Three masked men threw Molotov cocktails into a Turkish cafe in Berlin, Germany, following the death-sentence for Kurdistan Workers' Party (PKK) leader, Abdullah Ocalan, in Turkey. The fire was quickly put out, and no casualties or injuries were reported in this incident, which was one of many that occurred in Germany directly following Ocalan's verdict announcement.",1,0,3,Bombing/Explosion,1,Business,Turkish caf� in Berlin,209,Turkey,3,6,Explosives,Molotov Cocktails were used in the attack.,0,0
199908150005,1999,8,15,1,45,Colombia,3,South America,El Tarra district,8.57451,-73.09339,"8/15/1999:  The Bishop of Tibu, Mgr Jose de Jesus Quintero Diaz, was kidnapped by the Popular Liberation Army (EPL) while traveling between El Tarra and Tibu, Colombia.  The perpetrators stopped the vehicle the Bishop was traveling in and took him captive, while allowing his travel companions to go free.  The Bishop was released on September 19, 1999.  The EPL claims it was making a point about security issues in the area.",1,0,6,Hostage Taking (Kidnapping),15,Religious Figures/Institutions,"The Bishop of Tibu, Mgr Jose de Jesus Quintero Diaz",45,Colombia,100,13,Unknown,"The captors were described as ""armed""",0,0
199909050004,1999,9,5,0,87,Haiti,2,Central America & Caribbean,Port-au-Prince,18.527716,-72.33284,"9/5/1999: Sauveur Pierre Etienne, secretary of the Struggling People's Organization, was fired at in Port-au-Prince, Haiti.  The gunman stepped out on the road and fired at Etienne as he and his family were leaving the airport; the gunman only managed to hit the hood of the car.  Etienne returned fire and injured the attacker, who then fled with an accomplice.",0,0,1,Assassination,2,Government (General),"Sauveur Pierre Etienne, secretary of the Struggling People's Organization",87,Haiti,2,5,Firearms,A pistol,0,1
199910010007,1999,10,1,0,603,United Kingdom,8,Western Europe,London,51.504387,-0.140041,"10/01/1999: Ten unidentified perpetrators, suspected of belonging to a leftist organization, staged an attack on the Textile Industrialists' Association (TIDA) building in London, United Kindgom. At the time, the TIDA building, under the auspices of Ozdem Sanberk, the Turkish Ambassador to Britain, was hosting a meeting organized to help victims of the 7.4-magnitude earthquake that hit northwestern Turkey on August 17, 1999. The assailants attacked Sanberk's driver and tried to damage his vehicle with rocks and clubs. They then threw stones at the building, which caused minor damage. No one was injured in the attack.",1,0,8,Unarmed Assault,7,Government (Diplomatic),Turkish Ambassador to the United Kingdom,209,Turkey,10,9,Melee,"The assailants used rocks, clubs and stones to carry out the attack.",0,0
199910210004,1999,10,0,0,45,Colombia,3,South America,San Onofre,9.737587,-75.52526,"10/21/1999: Roberto Julio Torres, a reporter for a radio station and an editor for the daily newspaper Meridiano of Sincelejo, was abducted by five assailants from his home in San Onofre, Colombia.  Torres was killed.  Torres had been anonymously threatened in the past through pamphlets claiming he was linked to the Ej�rcito de Liberaci�n Nacional (ELN).   There are alternate theories concerning his death and debts he had incurred.",1,0,1,Assassination,10,Journalists & Media,"Roberto Julio Torres, an editor for Meridiano of Sincelejo",45,Colombia,5,13,Unknown,No mention of weapons was made,1,0
199911070005,1999,11,7,0,78,Greece,8,Western Europe,Athens,37.99749,23.762728,"11/07/1999: Two gunmen strafed the Hellenic-American Union in Athens, Greece, with gunfire ahead of a planned visit by U.S. President Bill Clinton. There were no reported casualties. It was unknown who was responsible for the incident.",1,0,2,Armed Assault,7,Government (Diplomatic),Hellenic-American Union Building in Athens,78,Greece,2,5,Firearms,The weapons were described as pistols.,0,0
199911080001,1999,11,8,1,147,Nigeria,11,Sub-Saharan Africa,Escravos,5.609324,5.193384,"11/08/1999: Fourteen unidentified youths armed with machetes boarded a Belize-owned ship near Escravos, Nigeria. They kidnapped an American and a Nigerian citizen. The hostages were freed on 11/12/1999.",1,0,7,Facility/Infrastructure Attack,11,Maritime,Belize-owned Ship,22,Belize,14,9,Melee,The perpetrators used machetes in the attack.,0,0
199911110003,1999,11,11,0,69,France,8,Western Europe,Saint-Florent,42.681855,9.303746,11/11/1999: Three people were tied up by guerillas from the Fronte di Liberazione Naziunale di a Corsica (FLNC) who threatened to blow up area houses. The victims managed to free themselves six hours later. No casualties were reported from the incident.,1,0,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,Indiscriminate civilians in Saint-Florent,69,France,10,9,Melee,"The men tied up their victims, but there were no reports of additional weapons in the attack.",0,0
199911110005,1999,11,11,0,78,Greece,8,Western Europe,Athens,37.99749,23.762728,"11/11/1999: Six unknown masked assailants attacked the office of the Greek Communist Party (KKE), injuring three people.",1,0,8,Unarmed Assault,2,Government (General),Party office in Athens,78,Greece,6,9,Melee,The attackers used pipes and clubs.,0,3
199911140007,1999,11,14,0,45,Colombia,3,South America,Cali,3.429344,-76.516037,"11/14/1999: A fuel oil bomb exploded outside the El Tiempo printing facility in Cali, Colombia. The bomb was seen delivered in a parcel to a nearby bus stop by an unidentified man, who witnesses said quickly left the scene following the drop; the explosion occurred seconds later. Three people were injured in the attack. The Fuerzas Armadas Revolucionarias de Colombia (FARC) claimed responsibility for the blast. There was also suspicion that the National Liberation Army (NLA) was also involved in the attack.",1,0,3,Bombing/Explosion,10,Journalists & Media,"El Tiempo Printing Facility in Cali, Colombia",45,Colombia,1,6,Explosives,The bomb contained approximately 10 lb. of ammonium nitrate fuel.,0,3
199911160001,1999,11,16,0,45,Colombia,3,South America,Medellin,6.242026,-75.564766,"11/16/1999: Three Fuerzas Armadas Revolucionarias de Colombia (FARC) members attempted to use gas cylinders as projectiles to bomb the Army 4th Brigade Headquarters in Medellin, Columbia. The attack failed, resulting in the explosion of the vehicle used to transport the cylinders. At least six people were wounded in the incident.",0,0,3,Bombing/Explosion,4,Military,Columbian Army 4th Brigade Headquarters,45,Colombia,3,6,Explosives,The attackers utilized two or three gas cylinders with approximately 45kg of dynamite attached to the canisters.,0,6
199912180003,1999,12,18,0,603,United Kingdom,8,Western Europe,Lisburn,54.515694,-6.055724,"12/18/1999: Three men were hospitalized in a suspected paramilitary punishment beating in Lisburn. Six masked men forced their way into an apartment and attacked the three with hammers, iron bars, and sticks. Two of the victims suffered broken arms while the third had head injuries.",1,0,8,Unarmed Assault,14,Private Citizens & Property,"Three individuals in an apartment in Lisburn, County Antrim, Northern Ireland",233,Northern Ireland,6,9,Melee,"The attackers used hammers, sticks, and iron bars.",0,3
200001040005,2000,1,4,1,45,Colombia,3,South America,Bogota,4.667128,-74.106056,"01/04/2000: The International Committee of the Red Cross (ICRC) headquarters in Bogota, Colombia was attacked and forty people were taken hostage. The 100 unidentified perpetrators demanded that the government and the ICRC find them new homes. The hostage-takers had left their homes during the Colombian government's war with local rebel groups. There is no information on what happened to the hostages, but the ICRC suspended operations in the country following this attack.",1,0,7,Facility/Infrastructure Attack,12,NGO,"ICRC headquarters in Bogota, Colombia",999,Multinational,100,9,Melee,Sticks were used in this attack.,0,0
200001110004,2000,1,0,0,101,Japan,4,East Asia,Tokaimura,36.46667,140.56667,"1/4/2000: A crude explosive device was found in a bag near the uranium processing plant belonging to JCO Co in Taikaimura, Japan.  The plant was the site of Japan's worst nuclear accident.  The timer on the device was not turned on so the device did not explode.  There was also a notebook in the bag with the name of the perpetrator on it.  Tatsufumi Oshiba was arrested for the offence.  He admitted to leaving the device as well as being responsible for other incidents in the weeks leading up to the failed Taikaimura attempt.  He said he was angry at JCO Co for a nuclear accident that had occurred in the area.",0,0,3,Bombing/Explosion,21,Utilities,JCO Co who owned the uranium processing plant in Tokaimura,101,Japan,1,6,Explosives,"The bomb was made from aluminum cans, a steel pipe and a can of chloroethylene",0,0
200001170002,2000,1,17,0,45,Colombia,3,South America,Anapoima,4.54939,-74.53601,01/17/2000: A car bomb exploded outside the National Police club in Anapoima. One civilian was injured and significant damage was caused to surrounding buildings. The perpetrators of this attack were unknown.,1,0,3,Bombing/Explosion,3,Police,The National Police club in Anapoima,45,Colombia,2,6,Explosives,A car bomb was parked in front of the club,0,1
200002180003,2000,2,18,1,45,Colombia,3,South America,Mitu,1.25525,-70.23339,"02/18/2000: About 100 members of the Fuerzas Armadas Revolucionarias de Colombia (FARC) attacked the city of Mitu, Colombia, with exploding gas tanks. The FARC focused its attack on the police station, which was operating in the former governor's house. Two people were injured in the attack.",1,0,3,Bombing/Explosion,3,Police,Police Station in Mitu,45,Colombia,100,6,Explosives,"The FARC used 100-pound and 20-pound propane gas tanks mortars, launched with a lighted fuse system.",0,2
200002200013,2000,2,16,1,45,Colombia,3,South America,El Salado,9.581058,-75.035527,"2/16/2000: 200 members of an ultra-right wing death squad raided and occupied the village of El Salado in Colombia from February 16, 2000 through to Feb 19, 2000.  The assailants danced and drank while they tortured and beheaded at least 28 villagers.  Most of the villagers were killed on a table set up on a basketball court but at least one was killed in the village church.  The assailants were searching for suspected communist sympathizers.",1,0,9,Unknown,14,Private Citizens & Property,Civilians in El Salado village,45,Colombia,200,13,Unknown,"The victims were tortured and beheaded, but no mention of specific weapons were made",28,0
200004060001,2000,4,6,0,603,United Kingdom,8,Western Europe,Londonderry,55.011562,-7.312045,"04/06/2000: A British Army camp in Londonderry, Northern Ireland, was the target of a bomb attack by suspected members of the Real Irish Republican Army (RIRA). A guardhouse was damaged, but no one was injured. Two unidentified men were seen fleeing the scene.",1,0,3,Bombing/Explosion,4,Military,"British Army camp in Londonderry, Northern Ireland",216,Great Britain,2,6,Explosives,Five pounds of homemade explosives were used.,0,0
200006030001,2000,6,3,0,185,Spain,8,Western Europe,Renteria,43.311307,-1.900896,"06/03/2000: Three unknown masked individuals set fire to a branch of the Guipuzcoa provincial tax office in Renteria, Spain, after evacuating the premises. No casualties resulted from the incident.",1,0,7,Facility/Infrastructure Attack,2,Government (General),A Branch of the Guipuzcoa Provincial Tax Office in Renteria,185,Spain,3,8,Incendiary,The attackers sprinkled the premises with a flammable liquid and fled after setting it on fire.,0,0
200006060012,2000,6,6,0,101,Japan,4,East Asia,Tokyo,35.689125,139.747742,06/06/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese Imperial Household Agency.  No injuries were reported in the incident.,0,0,8,Unarmed Assault,2,Government (General),Japanese Imperial Household Agency,101,Japan,1,3,Radiological,Monazite,0,0
200006060013,2000,6,6,0,101,Japan,4,East Asia,Tokyo,35.689125,139.747742,06/06/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese Defense Ministry.  No injuries were reported in the incident.,0,0,8,Unarmed Assault,2,Government (General),Japanese Defense Ministry,101,Japan,1,3,Radiological,Monazite,0,0
200006060014,2000,6,6,0,101,Japan,4,East Asia,Tokyo,35.689125,139.747742,06/06/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese National Public Safety Commission.  No injuries were reported in the incident.,0,0,8,Unarmed Assault,2,Government (General),Japanese National Public Safety Commission,101,Japan,1,3,Radiological,Monazite,0,0
200006060015,2000,6,6,0,101,Japan,4,East Asia,Tokyo,35.689125,139.747742,06/06/2000:  Tsugio Uchinishi sent envelops stuffed with monazite to the Japanese Education Ministry.  No injuries were reported in the incident.,0,0,8,Unarmed Assault,2,Government (General),Japanese Education Ministry,101,Japan,1,3,Radiological,Monazite,0,0
200006060016,2000,6,6,0,101,Japan,4,East Asia,Tokyo,35.689125,139.747742,06/06/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese National Police Agency.  No injuries were reported in the incident.,0,0,8,Unarmed Assault,2,Government (General),Japanese National Police Agency,101,Japan,1,3,Radiological,Monazite,0,0
200006070008,2000,6,7,0,101,Japan,4,East Asia,Tokyo,35.689125,139.747742,06/07/2000:  Tsugio Uchinishi sent envelopes stuffed with monazite to the Japanese Science and Technology Agency.  No injuries were reported in the incident.,0,0,8,Unarmed Assault,2,Government (General),Japanese Science and Technology Agency.,101,Japan,1,3,Radiological,Monazite,0,0
